news_headline,news_article,news_category
How many batsmen have scored 99 runs in an innings in T20I cricket history?,"England's Dawid Malan slammed 99*(47) to help his team defeat South Africa in the third T20I. With this, he became the third batsman in the history of T20I cricket to score 99 runs in an innings. The other two batsmen to have scored 99 runs in a T20I innings are also English (Alex Hales and Luke Wright).",sports
"Cricket Australia criticises Channel 7 over statement on India series, thanks BCCI","After Channel 7 said Cricket Australia is terrified of BCCI amid a contract battle, the Australian board criticised the broadcaster. ""It's disappointing...Seven West Media has again chosen to use...media to talk our wonderful game down,"" CA interim CEO Nick Hockley said. He thanked ""friends at BCCI"" for going ahead with the tour ""in the most challenging environment sport has faced"".",sports
"Warner's wife jokingly suggests sex reason behind his injury, says 'Sorry Australia'","During a radio show, Australia batsman David Warner's wife Candice jokingly suggested that sex was the reason behind David Warner's groin injury which he sustained in the second ODI against India. ""We only sort of reunited after four months apart...and everyone's like, 'What have you done to him?''' she said. She further said, ""Sorry, Australia!""",sports
"Female footballer refuses to pay tribute to Maradona, receives death threats","Paula Dapena, a footballer from a Spanish third division women's club, has received death threats online after refusing to take part in a minute's silence for late Argentine football legend Diego Maradona. Dapena sat on the pitch with her back turned while her teammates lined up around her in memory of Maradona. Dapena had called Maradona ""rapist, paedophile and abuser"".",sports
"Afridi gets angry at 21-yr-old Afghan pacer over fight with Amir, video goes viral","Galle Gladiators captain Shahid Afridi got angry at Kandy Tuskers' 21-year-old Afghan pacer Naveen-ul-Haq after the latter had a verbal spat with Mohammad Amir. While greeting the Afghan's team after their LPL match, Afridi was seen staring at Naveen-ul-Haq and angrily asking, ""Kya hua?"" Afridi later tweeted, ""My advice to...[him]...was simple, play the game and don't indulge in abusive talk.""",sports
F1 world champion Lewis Hamilton tests positive for coronavirus,"Seven-time Formula One world champion Lewis Hamilton has tested positive for coronavirus. His team said that he reported ""mild symptoms"" on Monday morning less than 24 hours after he claimed his 11th win of the season at the Bahrain Grand Prix. He will miss this weekend's Sakhir Grand Prix as he will be in quarantine.",sports
"Natarajan becomes India's 232nd ODI cricketer, receives cap from Kohli",Fast bowler T Natarajan has become the 232nd cricketer to debut for India in T20I cricket. The 29-year-old received his maiden cap from Team India captain Virat Kohli ahead of the third Australia-India ODI in Canberra on Wednesday. Natarajan is the 11th left-arm pacer to represent India in ODI cricket.,sports
"Kohli becomes fastest batsman to hit 12,000 ODI runs, breaks Sachin's record","India captain Virat Kohli has become the fastest batsman to score 12,000 runs in ODI cricket history. The 32-year-old achieved the feat in the third ODI against Australia in Canberra. Kohli took 242 innings to reach the milestone, breaking Sachin Tendulkar's record by 58 innings. Kohli is also the fastest batsman to reach 8,000, 9,000, 10,000 and 11,000 ODI runs.",sports
It does feel nice: Babar Azam on comparison with Virat Kohli,"Pakistan captain Babar Azam said it feels nice to be compared to a very good player like Virat Kohli. ""Comparisons with big players also help you to set goals that match those of the big players,"" said Babar. Both Virat and Babar are the only two batsmen right now, who are in the ICC's top 10 rankings in all formats.",sports
KKR & NZ pacer Lockie Ferguson develops fast bowling analytics app with brother,"New Zealand and KKR pacer Lockie Ferguson and his brother Mitch, a software developer, have developed an application called 'Machineroad' with which bowlers can measure their speeds on their smartphones. The app allows bowlers to record their training sessions while providing real-time feedback on lengths and bounce points. ""We’re trying to put [the analytics] in someone’s pocket,"" Lockie said.",sports
